Title,Course,Content Type,Module Tag,Date,Content
Final Project,CEN4777,Assignments,12,2024-12-15,Submit the final project by 11:59 PM.
Midterm Review,CEN4777,Announcements,6,2024-10-20,Midterm review session will be held on Zoom.
Homework 3,CEN4777,Assignments,8,2024-11-05,Homework 3 has been posted. Due in two weeks.
Final Exam,CEN4777,Exams,12,2024-12-20,The final exam will cover all course materials.
Exam 2 Review,CEN4777,Announcements,9,2024-11-12,Exam 2 review session will be held in class.
Lab 4 Results,CEN4777,Announcements,10,2024-11-15,Lab 4 results have been posted.
Project Proposal Review,CEN4777,Announcements,3,2024-09-25,The project proposal review will be discussed in class.
Homework 4,CEN4777,Assignments,9,2024-11-25,Homework 4 has been posted and is due in one week.

Group Project,CEN4721,Assignments,9,2024-11-10,Work on the group project and submit your reports.
Module 5 Quiz,CEN4721,Quiz,5,2024-09-25,Complete the Module 5 quiz by next Wednesday.
Midterm Study Guide,CEN4721,Announcements,7,2024-10-15,Study guide for the midterm is now available.
Final Exam Review,CEN4721,Exams,12,2024-12-18,Final exam review session will be held online.
Homework 4,CEN4721,Assignments,10,2024-11-18,Homework 4 is due next Friday.
Lecture Notes for Module 8,CEN4721,Announcements,8,2024-11-02,Lecture notes for Module 8 are available for download.
Exam 1,CEN4721,Exams,3,2024-09-30,Exam 1 will cover Modules 1-3.
Discussion Post Reminder,CEN4721,Announcements,5,2024-09-20,Reminder to participate in the Module 5 discussion.

Assignment 2,CEN4722,Assignments,3,2024-09-30,Assignment 2 has been posted, please review the guidelines.
Lecture 4 Notes,CEN4722,Announcements,4,2024-10-01,Lecture 4 notes are available for download.
Midterm Exam,CEN4722,Exams,6,2024-10-12,The midterm exam will cover modules 1-5.
Final Project Submission,CEN4722,Assignments,12,2024-12-05,Submit the final project by the deadline.
Homework 2,CEN4722,Assignments,4,2024-10-10,Homework 2 is due next Thursday.
Lab 2 Results,CEN4722,Announcements,2,2024-09-15,Lab 2 results have been posted.
Midterm Exam Prep,CEN4722,Exams,5,2024-10-05,Midterm exam prep material has been uploaded.
Final Exam Review,CEN4722,Exams,12,2024-12-15,The final exam review session will be held online.

Module 2 Quiz,CEN2876,Quiz,2,2024-09-10,Complete Module 2 quiz before the next class.
Lecture 3 Slides,CEN2876,Announcements,3,2024-09-15,Lecture 3 slides have been uploaded.
Final Exam Prep,CEN2876,Exams,12,2024-12-10,Final exam preparation materials have been uploaded.
Group Assignment 1,CEN2876,Assignments,4,2024-09-20,Complete Group Assignment 1 in your teams.
Lecture 8 Recap,CEN2876,Announcements,8,2024-11-05,Lecture 8 recap and key points have been posted.
Homework 3,CEN2876,Assignments,7,2024-10-20,Submit Homework 3 by the end of next week.
Exam 2 Prep,CEN2876,Exams,9,2024-11-08,Exam 2 prep materials have been posted for Modules 5-8.
Module 10 Quiz,CEN2876,Exams,10,2024-11-20,Complete the Module 10 quiz before next Wednesday.
